Date,Price
9/11/1992,790.09
9/14/1992,790.77
9/15/1992,792.15
9/16/1992,768.24
9/17/1992,773.59
9/18/1992,779.62
9/21/1992,776.08
9/22/1992,788.41
9/23/1992,784.73
9/24/1992,792.53
9/25/1992,789.18
9/28/1992,783.69
9/29/1992,785.92
9/30/1992,782.45
10/1/1992,779.24
10/2/1992,773.98
10/5/1992,760
10/6/1992,758.66
10/7/1992,761.54
10/8/1992,757.29
10/9/1992,751.97
10/12/1992,758.1
10/13/1992,765.8
10/14/1992,766.58
10/15/1992,770.03
10/16/1992,763.01
10/19/1992,753.76
10/20/1992,749.13
10/21/1992,754.55
10/22/1992,758.02
10/23/1992,756.05
10/26/1992,748.22
10/27/1992,749.87
10/28/1992,747.22
10/29/1992,740.49
10/30/1992,740.17
11/2/1992,735.77
11/3/1992,744.34
11/4/1992,747.29
11/5/1992,741.26
11/6/1992,736.83
11/9/1992,727.88
11/10/1992,727.05
11/11/1992,727.26
11/12/1992,730.33
11/13/1992,732.12
11/16/1992,721.4
11/17/1992,715.3
11/18/1992,730.45
11/19/1992,736.9
11/20/1992,734.62
11/23/1992,729.69
11/24/1992,730.78
11/25/1992,738.11
11/26/1992,740.47
11/27/1992,739.7
11/30/1992,745.94
12/1/1992,742.84
12/2/1992,746.36
12/3/1992,745.09
12/4/1992,742.94
12/7/1992,746.72
12/8/1992,753.93
12/9/1992,750.79
12/10/1992,752.92
12/11/1992,748.48
12/14/1992,747.99
12/15/1992,750.98
12/16/1992,753.77
12/17/1992,758.61
12/18/1992,763.22
12/21/1992,767.82
12/22/1992,767.97
12/23/1992,764.42
12/24/1992,764.74
12/25/1992,764.74
12/28/1992,754.03
12/29/1992,752.25
12/30/1992,749.25
12/31/1992,748.62
1/1/1993,748.62
1/4/1993,743.38
1/5/1993,747.56
1/6/1993,746.84
1/7/1993,745.94
1/8/1993,738.53
1/11/1993,738.93
1/12/1993,735.31
1/13/1993,730.71
1/14/1993,734.3
1/15/1993,735.48
1/18/1993,739.29
1/19/1993,742.26
1/20/1993,741.73
1/21/1993,739.29
1/22/1993,737.99
1/25/1993,745.42
1/26/1993,748.77
1/27/1993,744.16
1/28/1993,751.02
1/29/1993,747.35
2/1/1993,744.81
2/2/1993,744.77
2/3/1993,745.54
2/4/1993,745.75
2/5/1993,751.88
2/8/1993,752.77
2/9/1993,751.9
2/10/1993,753.4
2/11/1993,757.74
2/12/1993,755.52
2/15/1993,757.09
2/16/1993,759.56
2/17/1993,761.97
2/18/1993,762.83
2/19/1993,768.03
2/22/1993,774.2
2/23/1993,769.59
2/24/1993,766.2
2/25/1993,766.44
2/26/1993,768.77
3/1/1993,771.46
3/2/1993,775.84
3/3/1993,779.3
3/4/1993,776.78
3/5/1993,774.8
3/8/1993,791.65
3/9/1993,795.17
3/10/1993,793.49
3/11/1993,794.71
3/12/1993,791.97
3/15/1993,788.32
3/16/1993,790.47
3/17/1993,795.75
3/18/1993,810.56
3/19/1993,821.6
3/22/1993,818.06
3/23/1993,813.75
3/24/1993,807.98
3/25/1993,812.34
3/26/1993,822.23
3/29/1993,828.14
3/30/1993,829.68
3/31/1993,834.6
4/1/1993,848.97
4/2/1993,867.72
4/5/1993,871.37
4/6/1993,860.98
4/7/1993,871.17
4/8/1993,879.8
4/9/1993,877.15
4/12/1993,879.17
4/13/1993,901.86
4/14/1993,894.49
4/15/1993,894.18
4/16/1993,881.35
4/19/1993,888.4
4/20/1993,890.24
4/21/1993,883.56
4/22/1993,886.72
4/23/1993,891.51
4/26/1993,897.19
4/27/1993,907.46
4/28/1993,901.09
4/29/1993,901.23
4/30/1993,912.59
5/3/1993,910.56
5/4/1993,917.37
5/5/1993,918.09
5/6/1993,912.62
5/7/1993,915.95
5/10/1993,911.49
5/11/1993,904.73
5/12/1993,899.35
5/13/1993,898.14
5/14/1993,897.68
5/17/1993,902
5/18/1993,891.55
5/19/1993,898.58
5/20/1993,898.73
5/21/1993,904.23
5/24/1993,901.66
5/25/1993,911.25
5/26/1993,923.67
5/27/1993,929.97
5/28/1993,936.4
5/31/1993,930.65
6/1/1993,930.34
6/2/1993,928.79
6/3/1993,937.37
6/4/1993,930.02
6/7/1993,929.79
6/8/1993,928.45
6/9/1993,931.28
6/10/1993,930.5
6/11/1993,938.66
6/14/1993,943.21
6/15/1993,925.65
6/16/1993,914.04
6/17/1993,911.43
6/18/1993,899.01
6/21/1993,874.93
6/22/1993,882.82
6/23/1993,887.53
6/24/1993,891.34
6/25/1993,904.81
6/28/1993,913.94
6/29/1993,904.83
6/30/1993,914.94
7/1/1993,915.61
7/2/1993,902.19
7/5/1993,899.72
7/6/1993,905.26
7/7/1993,906.56
7/8/1993,904.62
7/9/1993,901.13
7/12/1993,900.38
7/13/1993,915.66
7/14/1993,916
7/15/1993,919.2
7/16/1993,917.27
7/19/1993,920.79
7/20/1993,916.85
7/21/1993,916.84
7/22/1993,920.27
7/23/1993,914.85
7/26/1993,921.1
7/27/1993,927
7/28/1993,929.29
7/29/1993,940.67
7/30/1993,945.8
8/2/1993,946.96
8/3/1993,956.06
8/4/1993,962.02
8/5/1993,959.87
8/6/1993,960.41
8/9/1993,962.68
8/10/1993,959.3
8/11/1993,970.21
8/12/1993,975.31
8/13/1993,977.55
8/16/1993,988.74
8/17/1993,990.16
8/18/1993,996.15
8/19/1993,999.17
8/20/1993,979.29
8/23/1993,978.16
8/24/1993,975.48
8/25/1993,971.24
8/26/1993,978.06
8/27/1993,989.04
8/30/1993,992.35
8/31/1993,995.68
9/1/1993,992.28
9/2/1993,990.1
9/3/1993,991.66
9/6/1993,1003.55
9/7/1993,999.64
9/8/1993,989.08
9/9/1993,995.79
9/10/1993,985.67
9/13/1993,991.99
9/14/1993,989.41
9/15/1993,988.75
9/16/1993,978.07
9/17/1993,982.81
9/20/1993,981.17
9/21/1993,978.21
9/22/1993,961.89
9/23/1993,961.3
9/24/1993,962.87
9/27/1993,967.14
9/28/1993,970.22
9/29/1993,971.97
9/30/1993,972.07
10/1/1993,972.45
10/4/1993,979.69
10/5/1993,986.15
10/6/1993,996.79
10/7/1993,994.42
10/8/1993,1003.1
10/11/1993,1001.27
10/12/1993,1003.65
10/13/1993,998.49
10/14/1993,992.09
10/15/1993,1000.59
10/18/1993,998.84
10/19/1993,994.76
10/20/1993,996.86
10/21/1993,996.89
10/22/1993,1001.76
10/25/1993,1005.25
10/26/1993,997.42
10/27/1993,988.82
10/28/1993,980.85
10/29/1993,1000.85
11/1/1993,992.52
11/2/1993,996.31
11/3/1993,1000.28
11/4/1993,987.34
